Frame,Timestamp,VehicleID,RiskType,X,Y
3,0.0666666666666667,21,Lane Change,52.9128571428571,367.032857142857
3,0.0666666666666667,22,Lane Change,32.8594704684318,526.236252545825
3,0.0666666666666667,1,Lane Change,148,362.762691853601
3,0.0666666666666667,23,Lane Change,130.844974446337,463.301533219761
3,0.0666666666666667,2,Lane Change,236.382689556509,277.318311874106
3,0.0666666666666667,3,Lane Change,244.437280187573,417.675263774912
3,0.0666666666666667,24,Lane Change,364.867122794382,1074.69571480014
3,0.0666666666666667,25,Lane Change,573.883143663068,882.264857504134
3,0.0666666666666667,26,Lane Change,368.0625,829.145089285714
3,0.0666666666666667,27,Lane Change,689.642201509728,591.343268242549
3,0.0666666666666667,28,Lane Change,437.910843373494,318.125301204819
3,0.0666666666666667,8,Lane Change,506.535294117647,258.46218487395
3,0.0666666666666667,11,Lane Change,766.767053701016,937.179970972424
3,0.0666666666666667,29,Lane Change,1164.47561497326,496.464759358289
3,0.0666666666666667,12,Lane Change,1054.13274336283,408.175726927939
3,0.0666666666666667,30,Lane Change,1162.29445145019,324.782471626734
3,0.0666666666666667,31,Lane Change,1192.94994763243,654.867813240725
3,0.0666666666666667,32,Lane Change,1411.80397049251,962.974301487428
3,0.0666666666666667,20,Lane Change,1356.53910991234,773.409642616318
5,0.133333333333333,57,Lane Change,13.4103194103194,359.646191646192
5,0.133333333333333,33,Lane Change,82.1381074168798,503.3273657289
5,0.133333333333333,58,Lane Change,86.529826812059,375.645285439384
5,0.133333333333333,23,Lane Change,156.482082488168,450.47599729547
5,0.133333333333333,34,Lane Change,197.859125315391,337.409167367536
5,0.133333333333333,35,Lane Change,239.331450094162,441.937853107345
5,0.133333333333333,40,Lane Change,327.501454333915,280.43048283886
5,0.133333333333333,37,Lane Change,285.372053872054,408.717171717172
5,0.133333333333333,59,Lane Change,312.505005561735,952.886540600667
5,0.133333333333333,60,Lane Change,365.276954177898,1044.33052560647
5,0.133333333333333,38,Lane Change,334.907692307692,389.867307692308
5,0.133333333333333,61,Lane Change,643.083244628853,947.471248886668
5,0.133333333333333,28,Lane Change,436.701268742791,313.177047289504
5,0.133333333333333,8,Lane Change,480.414052697616,270.851944792974
5,0.133333333333333,62,Lane Change,527.519035532995,323.110406091371
5,0.133333333333333,63,Lane Change,540.764023210832,253.277562862669
5,0.133333333333333,64,Lane Change,731.010560281607,653.644128287865
5,0.133333333333333,44,Lane Change,637.962836185819,291.980440097799
5,0.133333333333333,65,Lane Change,689.909611712285,457.068109484405
5,0.133333333333333,66,Lane Change,816.81484502447,437.277569331158
5,0.133333333333333,67,Lane Change,767.732824427481,795.942748091603
5,0.133333333333333,48,Lane Change,839.173575129534,298.578583765112
5,0.133333333333333,68,Lane Change,998.363849765258,298.117370892019
5,0.133333333333333,69,Lane Change,1047.19405003381,565.210953346856
5,0.133333333333333,50,Lane Change,1146.42095897502,431.713536948363
5,0.133333333333333,70,Lane Change,1089.9219425375,645.162979913552
5,0.133333333333333,52,Lane Change,1144.22936003908,852.894723986321
5,0.133333333333333,71,Lane Change,1320.69656196353,943.782257690345
5,0.133333333333333,72,Lane Change,1243.71871571711,693.635705404812
5,0.133333333333333,73,Lane Change,1408.58705424034,1044.58725402058
5,0.133333333333333,74,Lane Change,1628.50793650794,982.30612244898
6,0.166666666666667,58,Lane Change,66.6677759290072,365.641708264004
6,0.166666666666667,58,Lane Change,66.6677759290072,365.641708264004
6,0.166666666666667,33,Lane Change,87.6615087040619,498.087040618955
6,0.166666666666667,33,Lane Change,87.6615087040619,498.087040618955
6,0.166666666666667,23,Lane Change,159.732236350037,448.744951383695
6,0.166666666666667,23,Lane Change,159.732236350037,448.744951383695
6,0.166666666666667,34,Lane Change,208.673242909988,333.166461159063
6,0.166666666666667,34,Lane Change,208.673242909988,333.166461159063
6,0.166666666666667,40,Lane Change,328.215010683761,284.19391025641
6,0.166666666666667,40,Lane Change,328.215010683761,284.19391025641
6,0.166666666666667,37,Lane Change,287.712454212454,408.787545787546
6,0.166666666666667,37,Lane Change,287.712454212454,408.787545787546
6,0.166666666666667,59,Lane Change,301.65855940131,978.924228250702
6,0.166666666666667,59,Lane Change,301.65855940131,978.924228250702
6,0.166666666666667,75,Lane Change,633.561734272837,1003.072716308
6,0.166666666666667,75,Lane Change,633.561734272837,1003.072716308
6,0.166666666666667,38,Lane Change,338.334494773519,386.207317073171
6,0.166666666666667,38,Lane Change,338.334494773519,386.207317073171
6,0.166666666666667,76,Lane Change,461.647616731518,876.28939688716
6,0.166666666666667,76,Lane Change,461.647616731518,876.28939688716
6,0.166666666666667,28,Lane Change,441.101179391682,315.574177529485
6,0.166666666666667,28,Lane Change,441.101179391682,315.574177529485
6,0.166666666666667,8,Lane Change,478.559523809524,273.142857142857
6,0.166666666666667,8,Lane Change,478.559523809524,273.142857142857
6,0.166666666666667,62,Lane Change,528.229299363057,321.991082802548
6,0.166666666666667,62,Lane Change,528.229299363057,321.991082802548
6,0.166666666666667,77,Lane Change,538.541598694943,907.393148450245
6,0.166666666666667,77,Lane Change,538.541598694943,907.393148450245
6,0.166666666666667,78,Lane Change,630.544977511244,816.590704647676
6,0.166666666666667,78,Lane Change,630.544977511244,816.590704647676
6,0.166666666666667,63,Lane Change,543.005119453925,254.436006825939
6,0.166666666666667,63,Lane Change,543.005119453925,254.436006825939
6,0.166666666666667,79,Lane Change,648.066357474135,633.924723510524
6,0.166666666666667,79,Lane Change,648.066357474135,633.924723510524
6,0.166666666666667,44,Lane Change,630.381035996488,295.53643546971
